Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
201800000082;1;7;0;0;2;1;19;B01
201800000082;1;7;0;0;2;8;1;A01
201800000083;0;7;0;0;2;1;1;A01
201800000083;0;7;0;0;2;2;15;B01
201800000084;0;7;0;0;2;1;1;A01
201800000084;0;3;0;0;2;1;13;B01
201800000085;2;7;0;8;0;3;13;A01
201800000086;0;7;0;0;2;7;15;A01
201800000086;0;7;0;0;2;1;1;B01
201800000087;0;7;0;8;0;1;16;A01
201800000088;0;7;0;3;0;2;21;A01
201800000089;0;15;0;0;2;2;1;C01
201800000089;0;7;0;0;2;1;2;B01
201800000090;1;15;0;7;0;1;1;A01
201800000091;2;7;0;0;1;3;9;A01
201800000092;2;2;0;14;0;1;17;A01
201800000093;0;7;0;8;0;1;1;A01
201800000094;2;7;0;0;9;1;2;A01
201800000094;2;1;0;0;0;4;1;B01
201800000095;1;7;0;0;1;2;16;A01
201800000096;1;7;0;0;1;2;1;A01
201800000097;0;7;0;9;2;1;14;B01
201800000097;0;7;0;7;0;8;19;A01
201800000098;1;2;0;0;2;4;10;A01
201800000098;1;7;0;0;2;1;2;B01
201800000098;2;7;0;0;2;1;1;C01
201800000099;0;2;0;0;2;1;1;A01
201800000099;0;7;0;0;2;3;15;B01
201800000100;2;7;0;0;2;5;13;A01
201800000100;1;7;0;0;2;1;1;B01
201800000100;1;7;0;0;2;6;1;C01
201800000101;0;7;0;6;0;7;1;A01
201800000102;2;7;0;0;1;2;1;A01
201800000103;1;7;0;0;2;8;1;A01
201800000103;1;7;0;0;2;1;1;B01
201800000104;0;7;0;0;1;3;4;A01
201800000105;2;7;0;0;2;1;2;A01
201800000105;2;7;0;0;2;4;2;B01
201800000106;0;2;0;0;1;1;1;A01
201800000107;2;7;0;0;9;2;0;A01
201800000107;0;1;0;0;0;7;0;B01
201800000108;2;30;0;0;0;2;0;B01
201800000108;1;7;0;0;2;3;0;A01
201800000109;1;33;0;0;2;7;1;A01
201800000109;0;7;0;0;2;8;1;B01
201800000109;0;3;0;0;2;1;19;C01
201800000110;0;7;0;0;0;5;2;A01
201800000110;0;33;0;0;2;1;2;B01
201800000111;0;7;0;13;0;1;1;A01
201800000112;0;7;0;0;2;5;10;A01
201800000112;0;7;0;0;2;6;23;C01
201800000112;0;7;0;0;2;3;1;B01
201800000113;0;2;0;0;2;1;1;A01
201800000113;0;7;0;0;2;3;17;B01
201800000114;1;7;0;0;0;8;19;B01
201800000114;2;7;0;0;2;1;1;A01
201800000115;0;2;0;0;0;0;1;A01
201800000116;1;33;0;0;0;1;1;A01
201800000117;2;7;0;13;0;1;1;A01
201800000118;1;7;0;1;0;1;1;A01
201800000119;1;7;0;0;2;8;1;B01
201800000119;1;10;0;9;2;2;17;A01
201800000120;1;7;0;13;0;1;1;A01
201800000121;1;7;0;13;0;1;1;A01
201800000122;1;33;0;13;0;1;1;A01
201800000123;0;7;0;12;0;1;0;A01
201800000124;1;7;0;8;0;9;1;A01
201800000125;0;7;0;0;2;2;15;B01
201800000125;2;2;0;0;2;1;1;A01
201800000126;2;7;0;0;2;3;0;A01
201800000126;1;2;0;0;2;8;0;B01
201800000127;0;33;0;13;0;1;2;A01
201800000128;2;33;0;0;9;0;14;A01
201800000129;2;2;0;3;2;3;1;B01
201800000129;1;7;0;0;2;3;15;A01
201800000130;0;33;0;6;0;1;0;A01
201800000131;1;17;0;0;2;2;2;A01
201800000131;1;21;0;0;0;5;16;B01
201800000132;0;35;0;0;0;0;15;A01
201800000133;1;7;0;0;2;6;20;B01
201800000133;1;33;0;0;2;1;17;A01
201800000134;0;2;0;0;2;3;11;B01
201800000134;0;7;0;0;2;7;12;A01
201800000135;1;2;0;13;0;0;15;A01
201800000136;1;2;0;0;2;8;15;A01
201800000136;2;7;0;0;2;1;1;B01
201800000137;0;7;0;0;1;3;1;A01
201800000138;0;7;0;0;2;8;1;D01
201800000138;0;7;0;7;2;7;1;B01
201800000138;0;7;0;0;9;1;1;E01
201800000138;0;7;0;0;2;1;9;A01
201800000138;0;7;0;0;2;8;1;C01
201800000139;0;7;0;0;2;2;2;A01
201800000139;0;7;0;0;0;6;24;B01
201800000140;0;7;0;0;2;3;15;A01
201800000140;0;33;0;0;2;2;17;B01
201800000141;0;7;0;0;2;8;1;B01
201800000141;0;7;0;0;2;1;19;A01
201800000142;0;7;0;3;2;1;13;A01
201800000142;0;7;0;0;2;6;1;B01
201800000142;0;7;0;0;2;1;1;C01
201800000143;1;7;0;0;2;1;17;A01
201800000143;1;7;0;0;2;3;10;B01
201800000144;1;7;0;0;2;3;9;A01
201800000144;1;33;0;0;2;2;1;B01
201800000145;0;31;0;7;0;1;1;A01
201800000146;1;2;0;1;0;1;1;A01
201800000146;2;21;0;0;0;3;15;B01
201800000147;0;31;0;0;9;1;0;A01
201800000148;0;7;0;0;0;2;0;A01
201800000149;0;31;0;14;0;0;0;A01
201800000150;1;33;0;0;9;1;1;A01
201800000150;0;1;0;0;2;1;19;B01
201800000151;0;7;0;15;2;3;13;A01
201800000151;0;7;0;0;2;3;1;B01
201800000152;0;99;0;0;2;3;0;A01
201800000152;0;2;0;0;2;3;0;B01
201800000153;2;7;0;13;0;0;1;A01
201800000154;0;7;0;0;2;1;1;B01
201800000154;0;7;0;0;2;1;13;A01
201800000155;0;7;0;0;0;2;1;A01
201800000156;0;7;0;13;9;4;10;A01
201800000157;0;7;0;0;2;1;1;B01
201800000157;0;7;0;0;2;1;15;A01
201800000157;0;7;0;0;2;1;23;C01
201800000158;0;33;0;11;0;0;17;A01
201800000159;0;7;0;0;2;2;1;B01
201800000159;0;33;0;1;2;1;1;A01
201800000160;2;33;0;3;0;0;0;A01
201800000161;0;33;0;1;0;8;14;A01
201800000162;1;7;0;7;0;5;19;A01
201800000162;1;7;0;6;0;2;1;B01
201800000163;1;7;0;0;1;2;17;A01
201800000164;2;7;0;1;0;1;1;A01
201800000165;1;7;0;0;1;2;1;A01
201800000166;0;21;0;0;2;6;4;A01
201800000166;0;1;0;0;2;6;5;B01
201800000167;0;31;0;0;2;2;1;B01
201800000167;0;7;0;0;2;3;1;A01
201800000168;2;7;0;0;1;1;1;A01
201800000169;2;15;0;0;2;1;2;B01
201800000169;2;10;0;3;0;4;2;A01
201800000170;1;15;0;0;0;4;1;A01
201800000170;1;7;0;0;2;1;2;B01
201800000171;1;7;0;3;2;1;5;A01
201800000171;1;10;0;3;2;6;1;B01
201800000172;1;33;0;0;0;4;2;A01
201800000173;1;7;0;10;0;3;2;A01
201800000174;2;10;0;0;0;2;2;A01
201800000174;2;15;0;0;0;6;2;B01
201800000175;2;7;0;0;2;1;1;A01
201800000175;1;7;0;8;2;8;1;B01
201800000176;1;33;0;0;0;2;1;A01
201800000177;1;33;0;0;2;1;1;A01
201800000177;2;7;0;0;2;8;15;B01
201800000178;1;7;0;0;0;1;1;A01
201800000179;0;7;0;0;2;1;1;B01
201800000179;0;7;0;3;2;2;1;A01
201800000180;1;7;0;0;2;3;1;B01
201800000180;1;13;0;0;2;3;15;A01
201800000181;0;10;0;0;2;3;1;B01
201800000181;0;31;0;0;2;8;15;A01
201800000182;1;34;0;0;0;7;0;A01
201800000183;0;38;38;0;2;3;1;A01
201800000183;0;7;0;0;2;7;19;B01
201800000184;0;7;0;0;0;1;1;A01
201800000184;0;38;1;0;0;2;1;B01
201800000185;2;2;0;8;0;1;13;A01
201800000186;1;7;0;6;2;1;2;A01
201800000186;1;7;0;0;0;4;2;B01
201800000187;2;7;0;0;2;2;2;A01
201800000187;2;1;0;0;0;4;1;B01
201800000188;0;7;0;0;1;1;15;A01
201800000189;2;21;0;0;2;6;15;A01
201800000189;2;33;0;0;2;1;17;B01
201800000190;0;7;0;13;9;0;0;A01
201800000191;2;7;0;0;2;3;1;A01
201800000191;1;7;0;13;0;8;1;B01
201800000192;1;7;0;0;2;1;1;A01
201800000192;2;7;0;1;0;7;15;B01
201800000193;1;7;0;0;2;8;19;A01
201800000193;2;7;0;0;2;1;1;B01
201800000194;1;33;0;0;6;1;17;A01
201800000195;1;2;0;0;2;1;17;A01
201800000195;2;2;0;0;2;1;21;B01
201800000196;0;7;0;0;1;2;1;A01
201800000197;2;7;0;0;2;3;15;A01
201800000197;2;2;0;0;2;1;17;B01
201800000198;0;7;0;2;0;1;1;A01
201800000199;2;7;0;0;2;1;13;A01
201800000199;1;7;0;0;2;1;1;B01
201800000200;1;7;0;0;1;2;14;A01
201800000201;2;7;0;0;2;1;1;A01
201800000201;2;7;0;0;0;4;1;B01
201800000202;1;7;0;0;2;1;19;A01
201800000202;1;33;0;0;2;8;1;B01
201800000203;1;2;0;0;2;1;1;A01
201800000203;1;7;0;0;2;4;23;B01
201800000204;0;7;0;0;2;3;20;A01
201800000204;0;2;0;0;2;1;1;B01
201800000205;2;2;0;0;0;1;1;A01
201800000206;2;33;0;2;0;2;1;A01
201800000207;0;2;0;0;2;1;17;A01
201800000207;0;7;0;0;0;3;15;B01
201800000208;0;7;0;0;1;0;6;A01
201800000209;1;7;0;0;9;2;14;A01
201800000209;1;1;0;0;2;8;0;B01
201800000210;1;7;0;0;2;1;1;B01
201800000210;1;7;0;0;2;3;15;A01
201800000211;0;2;0;1;0;1;16;A01
201800000211;0;13;0;0;0;5;24;B01
201800000212;2;7;0;0;2;0;0;A01
201800000212;2;3;0;0;2;4;2;B01
201800000212;1;7;0;0;2;3;1;C01
201800000212;2;7;0;0;0;7;24;D01
201800000213;0;7;0;0;9;3;15;A01
201800000213;0;1;0;0;2;4;1;B01
201800000213;0;1;0;0;9;0;1;C01
201800000214;0;7;0;8;0;3;1;A01
201800000215;0;7;0;0;0;1;0;A01
201800000215;0;7;0;0;2;9;1;B01
201800000216;0;1;0;0;2;7;1;A01
201800000216;0;7;0;0;0;1;1;B01
201800000217;0;7;0;0;1;1;1;A01
201800000218;0;7;0;0;0;1;1;A01
201800000219;0;7;0;0;2;1;19;A01
201800000219;0;2;0;15;2;8;1;B01
201800000220;0;7;0;6;0;1;1;A01
201800000221;1;7;0;7;0;9;1;A01
201800000222;2;1;0;0;2;1;1;A01
201800000222;2;1;0;0;0;4;2;B01
201800000223;0;7;0;0;1;3;18;A01
201800000224;0;7;0;1;0;2;2;A01
201800000224;0;7;0;0;0;6;24;B01
201800000225;0;2;0;0;0;0;0;A01
201800000226;0;33;0;0;2;1;10;A01
201800000226;1;7;0;0;2;3;1;B01
201800000227;2;7;0;0;2;2;19;A01
201800000227;1;7;0;0;2;3;1;B01
201800000228;0;10;0;0;2;1;1;A01
201800000228;0;7;0;0;2;3;1;B01
201800000229;2;7;0;0;2;5;15;A01
201800000229;1;33;0;0;2;1;0;B01
201800000229;2;7;0;0;2;8;1;C01
201800000229;2;7;0;0;2;8;1;D01
201800000230;1;35;0;6;0;1;10;A01
201800000231;2;2;0;0;2;1;13;A01
201800000231;1;7;0;0;9;3;1;B01
201800000232;1;7;0;0;2;3;13;A01
201800000232;2;7;0;0;2;3;1;B01
201800000233;1;7;0;0;2;3;16;A01
201800000233;1;7;0;0;2;2;0;B01
201800000233;2;7;0;0;2;3;1;C01
201800000234;0;7;0;0;1;4;4;A01
201800000235;0;3;0;16;0;0;0;A01
201800000236;1;7;0;0;2;1;5;A01
201800000236;2;15;0;0;2;1;1;B01
201800000237;2;17;0;0;2;2;1;B01
201800000237;1;7;0;0;2;2;13;A01
201800000238;2;7;0;0;2;1;1;B01
201800000238;1;7;0;0;2;7;13;A01
201800000239;1;14;0;0;2;1;15;A01
201800000239;2;33;0;0;2;1;1;B01
201800000239;1;7;0;0;2;1;23;C01
201800000240;2;7;0;6;0;1;13;A01
201800000241;2;33;0;0;9;0;1;A01
201800000242;1;21;0;0;0;0;1;A01
201800000243;2;2;0;0;2;1;1;B01
201800000243;1;7;0;0;2;2;9;A01
201800000244;1;7;0;0;2;2;1;B01
201800000244;2;7;0;3;2;2;1;A01
201800000245;2;7;0;13;0;7;1;A01
201800000246;0;2;0;0;0;5;1;A01
201800000247;1;33;0;6;0;3;1;A01
201800000248;1;7;0;0;2;1;1;B01
201800000248;0;10;0;0;2;8;19;A01
201800000249;1;7;0;0;2;1;1;B01
201800000249;2;7;0;0;0;8;9;A01
201800000250;2;7;0;6;0;2;1;A01
201800000251;2;33;0;16;0;0;1;A01
201800000252;1;7;0;13;0;2;1;A01
201800000253;2;7;0;8;0;1;1;A01
201800000254;2;7;0;0;2;2;1;B01
201800000254;1;7;0;0;2;5;13;A01
201800000255;1;7;0;0;2;1;13;A01
201800000255;2;7;0;0;2;1;2;B01
201800000256;2;7;0;0;2;1;2;A01
201800000256;2;2;0;0;0;4;2;B01
201800000257;1;7;0;0;2;2;19;A01
201800000257;2;30;0;0;2;2;2;B01
201800000258;0;7;0;0;2;3;19;A01
201800000258;0;31;0;0;2;3;1;B01
201800000259;0;7;0;0;0;7;16;B01
201800000259;2;7;0;8;2;1;9;A01
201800000260;2;7;0;7;0;6;15;B01
201800000260;2;7;0;3;2;3;17;A01
201800000261;2;7;0;0;1;2;14;A01
201800000262;1;7;0;0;2;2;2;A01
201800000262;1;14;0;0;0;6;2;B01
201800000263;1;33;0;0;2;7;16;B01
201800000263;1;7;0;0;2;3;18;A01
201800000264;2;7;0;0;2;3;1;B01
201800000264;1;7;0;0;2;3;13;A01
201800000265;2;7;0;6;0;1;1;A01
201800000266;1;33;0;0;2;1;1;A01
201800000266;1;7;0;0;2;6;15;B01
201800000267;0;7;0;0;2;3;0;B01
201800000267;0;7;0;0;2;2;0;A01
201800000268;0;7;0;0;2;3;9;A01
201800000268;0;7;0;0;2;1;1;B01
201800000269;0;7;0;2;0;8;17;A01
201800000270;0;10;0;0;2;1;17;A01
201800000270;0;7;0;0;2;1;1;B01
201800000271;0;7;0;0;2;1;1;B01
201800000271;0;7;0;0;2;2;9;A01
201800000272;0;7;0;2;0;2;14;A01
201800000273;0;7;0;16;0;9;13;A01
201800000274;2;7;0;11;0;1;13;A01
201800000275;2;7;0;0;2;1;17;A01
201800000275;1;7;0;0;2;3;21;B01
201800000276;0;7;0;0;2;3;0;B01
201800000276;0;33;0;0;2;2;17;A01
201800000277;2;7;0;0;0;1;21;B01
201800000277;2;7;0;0;0;8;15;A01
201800000278;1;30;0;11;0;1;1;A01
201800000279;1;2;0;0;2;1;1;A01
201800000279;2;7;0;0;2;1;5;B01
201800000280;1;7;0;2;9;0;0;A01
201800000281;1;7;0;0;1;7;1;A01
201800000282;2;7;0;0;1;1;1;A01
201800000283;1;7;0;1;0;1;1;A01
201800000284;2;7;0;0;2;2;1;A01
201800000284;1;1;0;0;2;0;1;B01
201800000285;0;7;0;0;9;3;1;A01
201800000285;0;1;0;0;2;1;1;B01
201800000286;1;7;0;6;0;1;6;A01
201800000287;1;2;0;0;0;8;1;A01
201800000288;0;7;0;0;2;3;15;B01
201800000288;0;33;0;0;2;7;0;A01
201800000289;2;10;0;0;2;2;15;A01
201800000289;1;7;0;0;2;1;1;B01
201800000290;0;7;0;0;1;2;1;A01
201800000291;2;7;0;0;1;3;13;A01
201800000292;1;7;0;0;2;1;1;A01
201800000292;2;7;0;0;2;3;1;B01
201800000292;2;7;0;0;2;1;1;C01
201800000292;2;7;0;0;2;2;1;D01
201800000293;2;7;0;0;1;2;2;A01
201800000294;2;33;0;0;2;7;0;B01
201800000294;1;7;0;1;2;3;17;A01
201800000295;2;13;0;0;0;5;1;C01
201800000295;2;7;0;0;2;1;2;B01
201800000295;2;7;0;0;2;1;17;A01
201800000296;2;10;0;0;1;1;1;A01
201800000297;2;33;0;13;0;7;17;A01
201800000298;1;7;0;0;1;2;0;A01
201800000299;1;31;0;0;0;0;2;A01
201800000300;1;33;0;0;0;2;23;A01
201800000301;0;7;0;1;0;1;1;A01
201800000301;0;7;0;0;0;4;23;B01
201800000302;1;33;0;9;0;1;1;A01
201800000303;1;7;0;0;1;2;1;A01
201800000304;0;7;0;0;1;1;1;A01
201800000305;2;13;0;0;0;8;21;B01
201800000305;1;13;0;0;2;8;13;A01
201800000306;1;7;0;6;0;1;1;A01
201800000307;1;13;0;0;2;3;18;A01
201800000307;1;7;0;0;2;7;18;B01
201800000308;2;7;0;0;2;1;0;A01
201800000308;2;7;0;0;2;4;1;B01
201800000309;0;7;0;7;2;7;2;A01
201800000309;0;7;0;0;2;8;15;B01
201800000310;0;36;0;12;0;7;1;A01
201800000311;0;7;0;0;0;2;1;A01
201800000311;0;1;0;0;2;8;16;B01
201800000312;0;7;0;0;0;6;0;A01
201800000312;0;33;0;0;2;1;1;B01
201800000313;2;10;0;0;2;8;11;A01
201800000313;2;33;0;0;2;1;2;B01
201800000314;2;33;0;0;2;1;1;A01
201800000314;1;7;0;0;2;1;11;B01
201800000315;0;2;0;0;1;1;1;A01
201800000316;2;33;0;14;0;0;1;A01
201800000317;0;1;0;3;0;1;15;A01
201800000318;0;7;0;0;1;1;16;A01
201800000319;2;33;0;0;2;1;2;A01
201800000319;2;7;0;0;0;4;2;B01
201800000319;1;7;0;0;2;8;5;C01
201800000320;2;31;0;0;2;4;1;A01
201800000320;2;7;0;0;2;1;0;B01
201800000321;0;33;0;0;0;7;0;A01
201800000322;0;7;0;0;2;1;1;B01
201800000322;0;7;0;0;2;1;5;A01
201800000323;1;7;0;0;2;2;15;A01
201800000323;2;2;0;0;2;1;1;B01
201800000324;0;7;0;2;0;2;1;B01
201800000324;0;15;0;0;0;6;23;A01
201800000325;0;2;0;0;2;7;1;A01
201800000325;0;7;0;0;2;3;9;B01
201800000326;0;1;0;0;2;6;1;A01
201800000326;0;7;0;0;9;5;12;B01
201800000327;0;7;0;15;0;3;1;A01
201800000328;0;7;0;0;2;7;19;A01
201800000328;0;31;0;0;2;1;1;B01
201800000329;0;7;0;0;2;1;1;B01
201800000329;0;7;0;0;2;1;15;A01
201800000329;0;7;0;0;2;3;23;C01
201800000330;0;7;0;9;0;9;1;A01
201800000331;0;7;0;0;2;3;1;B01
201800000331;0;7;0;0;2;1;1;A01
201800000332;0;31;0;0;0;0;23;A01
201800000333;0;7;0;15;0;1;1;A01
201800000334;0;2;0;0;2;7;15;A01
201800000334;0;21;0;0;2;1;1;B01
201800000335;1;7;0;0;2;1;5;A01
201800000335;2;15;0;0;2;2;1;B01
201800000336;0;7;0;0;2;3;1;B01
201800000336;0;7;0;0;2;3;13;A01
201800000337;2;7;0;0;2;1;15;A01
201800000337;1;7;0;0;2;1;1;B01
201800000338;0;15;0;0;2;3;1;B01
201800000338;0;33;0;0;2;3;13;A01
201800000339;2;33;0;0;2;3;1;B01
201800000339;0;7;0;0;2;1;19;A01
201800000340;1;17;0;0;2;3;1;B01
201800000340;2;17;0;0;2;3;13;A01
201800000341;2;7;0;0;2;1;2;B01
201800000341;2;33;0;0;2;1;2;D01
201800000341;2;7;0;0;2;1;2;C01
201800000341;2;7;0;0;0;4;2;A01
201800000342;0;7;0;0;2;2;1;A01
201800000342;2;7;0;0;2;1;1;B01
201800000343;0;7;0;0;2;3;13;B01
201800000343;0;7;0;0;2;3;1;A01
201800000344;0;7;0;2;0;7;1;A01
201800000345;0;2;0;0;0;0;1;A01
201800000346;2;7;0;0;2;7;13;A01
201800000346;1;7;0;0;2;1;1;B01
201800000347;1;7;0;2;0;3;0;A01
201800000348;1;31;0;0;2;4;2;B01
201800000348;1;7;0;0;2;1;2;A01
201800000349;1;7;0;0;2;3;15;A01
201800000349;2;33;0;0;2;1;17;B01
201800000350;1;7;0;9;0;3;1;A01
201800000351;1;7;0;0;2;3;13;A01
201800000351;2;7;0;0;2;3;1;B01
201800000352;2;7;0;0;2;3;11;A01
201800000352;1;33;0;0;2;1;3;B01
201800000353;2;7;0;7;0;0;0;A01
201800000354;2;7;0;6;0;2;0;A01
201800000355;1;7;0;0;2;3;1;B01
201800000355;2;7;0;0;2;8;1;A01
201800000356;1;1;0;0;2;8;13;B01
201800000356;2;7;0;0;9;3;1;A01
201800000357;1;2;0;0;2;1;1;A01
201800000357;0;3;0;0;2;3;19;B01
201800000358;0;2;0;0;0;0;0;A01
201800000359;2;7;0;0;2;8;1;A01
201800000359;0;15;0;0;2;3;1;B01
201800000360;1;7;0;0;1;2;1;A01
201800000361;2;7;0;0;2;2;16;A01
201800000361;2;1;0;0;0;4;16;B01
201800000362;1;7;0;0;2;1;1;B01
201800000362;2;3;0;0;2;6;1;A01
201800000362;2;7;0;0;2;1;6;C01
201800000363;1;7;0;0;2;9;17;A01
201800000363;2;15;0;0;2;3;1;C01
201800000363;1;7;0;0;2;6;15;B01
201800000364;1;2;0;12;0;2;1;A01
201800000365;2;7;0;13;0;0;1;A01
201800000366;0;7;0;1;0;1;1;A01
201800000367;0;7;0;2;0;1;1;A01
201800000368;1;31;0;0;2;6;15;A01
201800000368;2;10;0;0;2;1;2;B01
201800000369;2;2;0;0;2;3;1;B01
201800000369;1;7;0;0;2;1;15;A01
201800000370;1;7;0;0;2;3;1;A01
201800000370;2;7;0;0;2;1;1;B01
201800000371;1;7;0;0;0;0;1;A01
201800000371;1;7;0;13;0;1;1;B01
201800000372;2;7;0;0;2;3;1;B01
201800000372;0;7;0;0;2;2;19;A01
201800000373;2;15;0;0;1;7;9;A01
201800000374;1;2;0;15;0;1;13;A01
201800000375;1;7;0;13;0;3;1;A01
201800000376;2;7;0;1;2;1;13;A01
201800000376;1;7;0;0;2;2;1;B01
201800000377;1;7;0;0;0;9;1;A01
201800000378;2;15;0;0;2;3;1;B01
201800000378;1;7;0;0;2;3;13;A01
201800000379;1;7;0;0;2;8;19;B01
201800000379;2;7;0;0;2;3;1;A01
201800000380;2;7;0;0;0;4;23;B01
201800000380;2;33;0;0;2;1;1;A01
201800000381;1;7;0;0;2;1;1;B01
201800000381;2;7;0;0;2;1;13;A01
201800000382;2;21;0;0;2;1;1;B01
201800000382;1;7;0;0;2;7;1;A01
201800000383;2;7;0;0;2;8;1;B01
201800000383;1;33;0;0;2;8;13;A01
201800000384;2;31;0;9;0;8;13;A01
201800000385;1;7;0;0;2;6;15;A01
201800000385;1;31;0;0;2;1;0;B01
