Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
201800000085;3;156;;;2;2;1;542;0;1;1;;;2;0;3;0
201800000086;3;42;;D;2;2;4;500;0;4;1;;;1;5;1;0
201800000087;4;;;;2;2;;;0;1;3;;;1;0;3;0
201800000088;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000089;3;643;;;2;2;2;773;0;1;1;;;1;0;1;0
201800000090;3;643;;R;2;2;9;550;1;1;1;;;1;5;1;0
201800000091;3;2643;;;2;2;11;612;0;1;1;;;1;0;1;0
201800000092;3;2643;;D;2;2;12;18;0;2;1;;;1;5;1;0
201800000093;3;86;;;2;2;;;0;1;1;;;1;0;4;0
201800000094;3;959;;;2;2;6;491;0;1;1;;;1;0;1;0
201800000095;4;;;;;;;;;;;;;;;;
201800000096;3;67;;D;2;2;;;0;1;1;;;1;0;1;0
201800000097;3;86;;D;2;2;;;0;1;1;;;1;0;1;0
201800000098;3;643;;;2;2;8;790;0;1;1;;;1;0;1;0
201800000099;4;;;;;;;;;;;;;;;;
201800000100;3;115;;;2;2;5;1000;0;1;1;;;1;0;1;0
201800000101;4;;;;3;2;;;0;1;1;;;7;0;4;0
201800000102;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000103;3;45;;;2;2;16;121;0;1;1;;;1;5;1;0
201800000104;6;;;;0;1;;;3;1;1;;;1;0;1;0
201800000105;3;16;;;2;2;26;134;0;1;1;;;1;0;1;0
201800000106;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000107;4;;;;2;2;;;0;1;1;;;2;0;1;0
201800000108;3;643;;D;2;2;16;385;0;1;1;;;1;0;1;0
201800000109;3;16;;A;2;2;0;482;0;1;1;;;1;0;1;0
201800000110;3;115;;;;;;;;;;;;;;;
201800000111;3;134;;;2;2;;;0;1;2;;;1;0;1;0
201800000112;3;643;;;2;2;;;0;1;1;;;1;0;1;0
201800000113;3;16;;A;2;2;1;0;0;1;1;;;1;0;1;0
201800000114;3;340;;;2;2;30;929;0;1;1;;;1;5;1;0
201800000115;4;;;;0;1;;;0;1;1;;;9;0;3;0
201800000116;3;152;;;2;2;3;660;0;2;1;;;1;0;1;0
201800000117;3;630;;;2;2;19;400;1;1;1;;;1;0;3;0
201800000118;3;630;;;2;2;20;783;0;1;3;;;1;0;4;0
201800000119;3;114;;;2;2;4;870;0;1;1;;;1;2;1;0
201800000120;3;29;;;2;2;4;40;0;1;1;;;2;0;3;0
201800000121;3;56;;;2;2;4;888;0;1;1;;;1;0;3;0
201800000122;3;29;;;2;2;15;398;0;2;1;;;1;0;3;0
201800000123;3;644;;;2;2;;;0;1;1;;;1;0;1;0
201800000124;3;40;;D;2;2;;;0;1;1;;;1;0;3;0
201800000125;4;;;;;;;;;;;;;;;;
201800000126;3;109;;D;4;2;1;659;0;1;1;;;1;0;1;0
201800000127;3;643;;D;1;1;;;0;1;1;;;1;0;1;0
201800000128;3;65;;;2;2;3;400;0;1;1;;;1;0;1;0
201800000129;3;25;;A;2;2;;;0;1;1;;;1;0;1;0
201800000130;3;247;;;2;2;;;0;1;1;;;1;2;3;0
201800000131;3;643;;;2;3;47;630;0;2;1;;;1;0;1;0
201800000132;4;;;;2;2;;;0;1;2;;;1;0;1;0
201800000133;3;65;;D;2;2;10;1;0;1;1;;;1;0;1;0
201800000134;3;643;;;1;2;54;500;1;1;2;;;1;0;1;0
201800000135;3;47;;;2;2;43;;0;1;2;;;1;0;1;0
201800000136;3;135;;A;2;2;2;635;0;1;1;;;2;0;1;0
201800000137;3;126;;;;;;;;;;;;;;;
201800000138;3;549;;;2;2;;;2;1;1;;;7;0;1;0
201800000139;3;938;;;2;2;;;1;1;1;;;1;0;5;0
201800000140;3;957;;;2;2;;;0;2;1;;;1;0;1;0
201800000141;3;938;;;2;2;;;0;1;1;;;1;0;1;0
201800000142;3;938;;;2;2;;;1;1;1;;;1;0;1;0
201800000143;3;938;;;2;2;;;0;1;1;;;1;0;1;0
201800000144;3;938;;;2;2;;;0;1;1;;;1;0;1;0
201800000145;3;230;;;2;2;;;0;1;2;;;1;0;3;0
201800000146;3;126;;;2;2;;;0;1;1;;;1;0;1;0
201800000147;9;;;;0;1;;;0;1;1;;;9;0;1;0
201800000148;3;549;;D;2;2;;;0;1;1;;;1;0;3;0
201800000149;3;938;;;2;2;;;0;1;1;;;1;0;1;0
201800000150;3;549;;;2;2;;;0;1;1;;;1;0;1;0
201800000151;3;430;;;2;2;;;0;1;3;;;1;0;1;0
201800000152;4;;;;2;2;;;0;1;3;;;1;0;1;0
201800000153;3;938;;;2;2;;;0;1;1;;;2;0;3;0
201800000154;4;;;;2;2;;;0;1;3;;;2;0;1;0
201800000155;3;30;;D;2;2;;;0;1;1;;;7;0;1;0
201800000156;3;154;;;2;2;11;600;0;1;1;;48;1;0;3;0
201800000157;3;154;;;;;;;;;;;;;;;
201800000158;2;2;;;2;2;;;0;1;1;;;1;0;1;0
201800000159;3;942;;;2;2;45;850;0;2;3;;67;1;0;1;0
201800000160;3;649;;;3;4;81;800;0;2;1;10;100;1;0;1;0
201800000161;3;2649;;;2;2;;;0;2;4;;;1;0;1;0
201800000162;3;154;;D;2;2;6;643;0;1;1;;;1;0;1;0
201800000163;3;951;;D;2;2;;;0;1;1;;;1;0;1;0
201800000164;3;100;;;2;2;9;900;0;1;2;;;2;0;3;0
201800000165;3;932;;;2;2;32;550;0;1;1;;67;1;0;1;0
201800000166;4;;;;0;2;;;0;1;1;;;9;0;1;0
201800000167;4;34;;;2;2;;;0;2;3;;;1;0;1;0
201800000168;3;86;;;2;2;1;5;0;1;1;;;1;5;1;0
201800000169;1;16;;;3;4;59;568;0;1;1;;;1;0;1;0
201800000170;1;16;;;3;4;69;100;0;2;1;;;1;0;1;0
201800000171;1;16;;;3;4;60;550;0;1;1;;;1;0;1;0
201800000172;1;16;;;3;2;63;300;0;1;1;;;1;0;1;0
201800000173;1;16;;;3;2;72;0;0;1;3;;;1;0;1;0
201800000174;1;16;;;3;4;245;800;0;2;1;;;1;0;1;0
201800000175;3;341;;;2;2;4;350;0;2;1;;;1;0;1;0
201800000176;3;55;;;2;2;14;37;0;1;2;;;1;0;1;0
201800000177;3;339;;;2;2;30;937;0;1;2;;;1;0;1;0
201800000178;4;;;;2;2;;;0;1;4;;;1;0;1;0
201800000179;3;341;;;2;2;6;783;0;2;1;;;1;0;1;0
201800000180;3;49;;;2;2;9;225;;;;;;;5;1;
201800000181;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000182;3;57;;;2;2;5;0;0;1;4;;;1;0;3;0
201800000183;3;341;;;2;2;;;0;1;1;;;1;5;1;0
201800000184;2;17;;;2;4;36;900;0;1;1;;;1;0;1;0
201800000185;3;51;;;2;2;1;350;0;1;1;;;2;0;4;0
201800000186;3;950;;;3;2;11;300;0;1;1;;;1;0;1;0
201800000187;3;950;;;3;2;18;600;0;1;1;;;1;0;1;0
201800000188;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000189;3;39;;;2;2;15;700;0;2;1;;;1;0;1;0
201800000190;3;43;;;2;2;0;2100;0;1;1;;;1;0;3;0
201800000191;3;191;;;2;2;53;800;0;2;1;;;7;0;1;0
201800000192;3;191;;;2;2;46;800;0;1;1;;;1;0;1;0
201800000193;3;232;;;2;2;11;50;0;1;1;;;1;5;1;0
201800000194;3;940;;;2;2;59;300;0;1;1;;;1;0;1;0
201800000195;3;191;;;2;2;48;600;0;1;1;;;2;0;1;0
201800000196;3;191;;;2;2;50;1090;0;2;1;;;1;0;1;0
201800000197;3;244;;E;2;2;19;140;0;1;1;;;1;0;1;0
201800000198;4;;;;2;2;;;0;1;2;;;2;0;3;0
201800000199;3;940;;;2;2;36;79;1;1;1;;;1;0;1;0
201800000200;3;52;;;2;2;15;600;0;3;1;;;1;0;3;0
201800000201;3;901;;;2;2;44;910;0;1;1;;;1;0;1;0
201800000202;4;;;;1;1;;;0;1;1;;;1;0;1;0
201800000203;3;75;;;2;2;28;500;0;1;1;;;1;0;1;0
201800000204;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000205;3;148;;E;2;2;58;436;0;2;2;;;1;0;1;0
201800000206;3;113;;;2;2;32;520;0;1;2;;;1;0;3;0
201800000207;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000208;3;940;;;1;1;0;24;0;1;3;;;1;0;1;0
201800000209;3;157;;;2;1;24;647;0;1;1;;;1;5;4;0
201800000210;3;157;;;2;2;;;0;1;2;;;2;5;1;0
201800000211;4;;;;1;2;;;0;1;3;;;1;0;1;0
201800000212;3;157;;;2;2;21;300;0;1;1;;;1;0;1;0
201800000213;3;190;;;2;2;9;1480;0;1;1;;;1;0;1;0
201800000214;3;943;;;2;2;60;450;2;1;1;;;1;0;1;0
201800000215;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000216;4;;;;0;2;;;0;1;4;;;1;0;1;0
201800000217;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000218;3;192;;;2;2;2;350;0;1;1;;;1;0;1;0
201800000219;6;;;;;;;;0;1;1;;;2;0;1;0
201800000220;3;194;;;2;2;1;290;0;1;1;;;2;2;3;0
201800000221;3;940;;D;1;1;20;850;0;1;2;;;5;5;1;0
201800000222;3;48;;;2;2;15;100;0;1;1;;;1;0;1;0
201800000223;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000224;3;940;;;2;2;16;100;0;1;1;;;1;0;4;0
201800000225;4;;;;2;2;;;0;1;1;;;1;0;3;0
201800000226;3;102;;;2;2;11;850;0;1;1;;;1;0;1;0
201800000227;3;48;;;2;2;11;580;0;1;1;;;1;0;1;0
201800000228;4;7;;;2;2;;;0;1;1;;;1;0;1;0
201800000229;3;940;;D;2;2;8;300;0;1;1;;;1;0;1;0
201800000230;3;48;;;2;2;17;670;0;1;2;;;1;0;4;0
201800000231;3;106;;;2;2;7;430;0;2;1;;;1;0;1;0
201800000232;3;929;;;2;2;28;0;0;1;2;0;0;2;0;1;99
201800000233;3;938;;;2;2;22;500;0;3;1;;;1;0;1;0
201800000234;6;;;;0;1;;;0;1;1;;;1;0;1;0
201800000235;4;;;;2;2;;;0;1;1;;;1;0;3;0
201800000236;3;929;;;2;2;33;200;0;1;1;;;1;0;1;0
201800000237;3;966;;;2;2;24;960;0;1;1;;;2;0;1;0
201800000238;3;1044;;;2;3;78;897;0;3;1;;;2;0;1;0
201800000239;3;1044;;;2;2;76;876;0;2;3;;;1;0;1;0
201800000240;3;513;;;2;2;2;775;0;1;3;;;1;0;3;0
201800000241;3;1044;;;2;3;77;705;0;2;1;;;1;0;1;0
201800000242;3;89;;;2;2;14;0;0;1;1;;;1;0;1;0
201800000243;3;25;;;2;2;17;233;0;1;2;;;2;0;1;0
201800000244;3;82;;;2;2;31;776;0;2;2;;;2;0;1;0
201800000245;3;86;;;2;2;20;12;0;1;3;;;1;0;3;0
201800000246;4;;;;2;2;;;0;1;1;;;1;0;3;0
201800000247;3;969;;;2;2;6;650;0;2;4;;;1;0;1;0
201800000248;3;933;;;2;2;2;600;0;1;1;;;1;0;1;0
201800000249;3;1003;;;2;3;8;872;0;1;1;;;1;5;1;0
201800000250;3;86;;;2;2;23;700;0;2;4;;;1;0;3;0
201800000251;3;861;;;2;2;4;14;0;2;1;;;1;0;1;0
201800000252;3;11;;;2;2;29;600;0;1;1;;;1;0;3;0
201800000253;3;1;;;2;2;107;100;0;1;1;;;1;0;3;0
201800000254;3;16;;;2;2;9;785;0;2;1;;;2;0;1;0
201800000255;3;15;;;2;2;27;139;0;2;1;;;1;0;1;0
201800000256;3;933;;;2;2;5;920;0;2;1;;;1;0;1;0
201800000257;3;363;;;2;2;2;2168;0;2;1;;;2;0;1;0
201800000258;3;363;;;;;2;1;;;;;;;;;
201800000259;4;;;;2;2;;;0;1;3;;;1;0;1;0
201800000260;3;1043;;;2;2;20;900;0;1;1;;;1;0;1;0
201800000261;4;;;;2;2;;;0;2;1;;;1;0;4;0
201800000262;3;753;;;2;2;58;300;0;1;1;;;1;0;1;0
201800000263;3;1043;;;2;2;24;519;0;1;1;;;1;0;1;0
201800000264;4;;;;2;2;;;0;4;1;;;1;0;1;0
201800000265;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000266;3;981;;;2;2;1;620;0;1;1;;;1;0;1;0
201800000267;3;153;;;2;2;21;0;0;4;1;;;2;0;1;0
201800000268;3;915;;;2;2;6;0;0;1;1;;;2;0;1;0
201800000269;3;915;;;2;2;0;550;0;1;1;;;2;0;3;0
201800000270;3;153;;;2;2;8;847;0;1;1;;;1;0;3;0
201800000271;3;981;;D;2;2;6;500;0;1;1;;;2;0;1;0
201800000272;4;;;;2;2;;;0;3;2;;;2;0;3;0
201800000273;3;44;;;2;2;2;850;0;3;2;;;1;0;3;0
201800000274;3;1001;;;2;2;21;500;0;2;1;;;1;0;1;0
201800000275;3;1001;;;2;3;14;700;0;1;1;;;1;0;1;0
201800000276;3;1001;;;2;2;21;500;0;1;1;;;1;0;1;0
201800000277;3;1001;;;2;2;17;500;0;2;1;;;1;0;1;0
201800000278;3;125;;;4;2;17;800;0;1;1;;;1;0;1;0
201800000279;3;620;;;1;1;2;59;0;2;2;;;1;0;1;0
201800000280;3;1016;;;3;2;26;700;0;1;2;;;1;0;1;0
201800000281;3;137;;;2;2;21;500;3;1;1;;;1;0;1;0
201800000282;3;916;;A;2;2;31;23;0;1;1;;;9;0;1;0
201800000283;3;12;;;2;2;12;514;0;1;1;;;1;0;3;0
201800000284;3;89;;;2;2;3;100;0;1;1;;;1;0;1;0
201800000285;4;;;;2;2;;;0;2;3;;;1;0;1;0
201800000286;3;1001;;;1;1;25;630;0;1;2;;;1;0;4;0
201800000287;3;137;;;2;2;4;500;0;1;1;;;1;0;1;0
201800000288;4;;;;;;;;;;;;;;5;1;3
201800000289;3;137;;;2;2;13;900;0;1;1;;;1;0;1;0
201800000290;3;12;;;2;2;19;154;0;1;1;;;1;5;1;0
201800000291;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000292;3;332;;;2;2;33;800;0;2;4;;;2;0;1;0
201800000293;3;200;;D;3;2;2;100;0;2;2;;;8;0;3;0
201800000294;3;26;;;2;2;15;450;0;1;1;;;1;0;1;0
201800000295;2;31;;;2;3;76;530;0;3;1;;;2;0;1;0
201800000296;3;653;;;2;2;22;150;0;1;1;;;2;0;1;0
201800000297;3;653;;;2;2;16;900;0;2;2;;;1;0;1;0
201800000298;3;15;;;2;2;;;0;1;1;;;1;5;1;0
201800000299;3;56;;;2;2;22;0;0;3;2;;;1;0;3;0
201800000300;3;1;;;2;2;46;0;0;1;1;;;1;0;1;0
201800000301;4;;;;2;2;;;0;2;3;;;1;0;1;0
201800000302;3;1017;;;2;2;9;800;0;1;1;;;1;0;4;0
201800000303;3;330;;;2;2;2;600;0;1;1;;;1;0;1;0
201800000304;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000305;3;932;;A;2;2;1;100;0;1;1;;;1;0;1;0
201800000306;3;330;;;2;2;5;0;0;4;1;;;1;0;4;0
201800000307;3;932;;A;2;2;2;0;0;1;1;;;1;0;1;0
201800000308;3;1324;;;2;2;5;600;0;1;1;;;2;0;1;0
201800000309;3;923;;;2;2;1;0;0;4;1;;;1;0;1;0
201800000310;4;;;;2;2;;;0;1;1;;;1;0;4;0
201800000311;3;118;;;2;2;22;0;0;1;1;;;1;0;1;0
201800000312;3;105;;;2;2;24;300;0;1;1;;;1;0;1;0
201800000313;3;1001;;;2;3;1;1040;0;1;1;;;2;0;1;0
201800000314;4;;;;2;2;;;0;1;1;;;1;0;1;0
201800000315;4;;;;;;;;;;;;;;0;1;99
201800000316;3;49;;;2;2;4;300;0;1;3;;;1;5;1;0
201800000317;3;924;;;2;2;2;0;0;1;2;;;1;5;1;0
201800000318;3;929;;;2;2;7;807;0;1;3;;;1;5;1;0
201800000319;3;1001;;;2;3;1;300;0;1;1;;;1;0;1;0
201800000320;3;1001;;;3;4;3;900;0;1;1;;;2;0;1;0
201800000321;3;1001;;;2;2;1;1040;1;1;1;;;2;0;3;0
201800000322;3;105;;;2;2;21;750;0;2;1;;;7;0;1;0
201800000323;3;606;;;;;5;100;;;;;;;0;1;99
201800000324;4;;;;3;2;;;0;1;1;;;1;0;1;0
201800000325;4;;;;1;1;;;0;1;2;;;1;0;1;0
201800000326;3;1016;;;4;2;10;280;0;2;2;;;1;5;1;0
201800000327;3;924;;A;2;2;2;0;0;1;1;;;1;5;3;0
201800000328;3;1016;;;2;2;6;800;1;1;1;;;1;0;1;0
201800000329;3;924;;A;2;2;2;200;0;1;1;;;2;0;1;0
201800000330;3;924;;A;2;2;36;860;0;1;1;;;2;0;1;0
201800000331;3;44;;;2;2;22;300;0;2;4;;;2;0;1;0
201800000332;3;44;;;2;2;21;900;0;1;3;;;6;0;3;0
201800000333;3;606;;E;2;2;1;0;0;1;1;;;2;0;3;0
201800000334;3;44;;;2;2;22;600;0;2;2;;;2;0;1;0
201800000335;2;330;;;2;2;7;500;0;2;3;;;2;0;1;0
201800000336;3;84;;;2;2;5;600;0;1;1;;;2;0;1;0
201800000337;3;922;;;2;2;16;500;0;1;1;;;1;0;1;0
201800000338;2;330;;;2;2;7;100;0;1;4;;;1;0;1;0
201800000339;3;922;;;2;2;17;0;0;1;1;;;1;0;1;0
201800000340;2;330;;;2;2;7;400;0;2;2;;;1;0;1;0
201800000341;2;2;;;3;4;9;900;3;2;1;;;1;0;1;0
201800000342;3;922;;;2;2;17;0;0;1;1;;;2;0;1;0
201800000343;3;84;;D;2;2;6;0;0;1;2;;;1;0;1;0
201800000344;3;84;;;2;2;3;100;0;1;3;;;1;0;3;0
201800000345;3;84;;;2;2;6;290;0;1;3;;;2;4;1;0
201800000346;3;100;;;2;2;14;50;0;3;1;;;7;0;1;0
201800000347;2;330;;;2;2;2;800;0;1;1;;;1;0;1;0
201800000348;3;291;;;;;3;700;;;;;;;;;
201800000349;3;6014;;;2;2;9;200;0;1;1;;;1;0;1;0
201800000350;3;6014;;;2;2;8;800;0;1;1;;;1;0;4;0
201800000351;3;42;;;2;2;11;800;0;4;2;;;1;0;1;0
201800000352;3;7;;D;2;2;13;700;0;1;1;;;1;0;1;0
201800000353;3;53;;;2;2;77;150;0;1;3;;;1;0;3;0
201800000354;3;91;;;2;2;9;0;0;1;2;;;1;0;3;0
201800000355;3;10;;;2;2;4;478;0;1;1;;;1;0;1;0
201800000356;3;39;;D;2;2;20;523;0;1;1;;;1;0;1;0
201800000357;3;39;;;2;2;19;690;0;1;1;;;1;5;1;0
201800000358;5;;;;2;2;;;0;1;1;;;1;0;1;0
201800000359;3;982;;;1;1;60;550;0;2;1;;;1;3;1;0
201800000360;4;2;;;2;2;0;293;0;1;1;;;1;0;1;0
201800000361;3;6015;;;0;1;78;850;0;1;2;;;1;0;1;0
201800000362;3;915;;D;2;3;64;0;0;3;1;;;1;0;1;0
201800000363;3;7;;;;;74;250;;;;;;;;;
201800000364;3;157;;;2;2;0;900;0;1;1;;;1;2;1;0
201800000365;3;97;;D;2;2;28;680;0;2;2;;;2;0;1;0
201800000366;4;;;;0;2;;;0;1;1;;;1;0;1;0
201800000367;3;60;;;2;2;5;200;0;2;1;;;1;0;3;0
201800000368;3;157;;;2;2;0;2000;0;1;1;;;2;5;1;0
201800000369;3;915;;D;2;3;65;200;0;2;1;;;1;5;5;0
201800000370;3;1;;;2;2;55;680;0;1;1;;;1;0;1;0
201800000371;3;156;;;;;5;217;;;;;;;;;
201800000372;3;8;;;2;2;8;400;0;1;1;;;2;0;1;0
201800000373;3;1314;;;2;2;2;28;0;1;1;;;1;0;1;0
201800000374;3;130;;;2;2;5;100;0;2;3;;;1;0;3;0
201800000375;3;919;;;2;2;31;200;0;1;1;;;1;0;3;0
201800000376;3;919;;;2;2;18;2000;0;2;1;;;1;0;1;0
201800000377;3;131;;;2;2;18;350;0;1;1;;;1;0;3;0
201800000378;3;131;;E;2;2;7;138;0;1;3;;;1;0;1;0
201800000379;3;110;;;2;2;19;386;0;1;1;;;1;0;1;0
201800000380;3;6015;;;2;2;49;300;0;1;1;;;1;5;1;0
201800000381;3;37;;;2;2;18;300;0;1;2;;;1;0;1;0
201800000382;3;240;;;2;2;11;250;0;1;1;;;1;0;1;0
201800000383;3;37;;;2;2;16;170;0;1;3;;;1;0;1;0
201800000384;3;110;;;2;2;18;700;0;1;1;;;1;0;3;0
201800000385;3;240;;;2;2;11;780;0;1;1;;;1;0;5;0
201800000386;3;33;;;1;1;20;4230;0;2;1;;;1;5;1;0
201800000387;3;34;;;2;2;4;440;0;3;1;;;1;0;1;0
201800000388;3;281;;;;;17;680;;;;;;;;;
201800000389;3;982;;;2;2;31;265;0;1;1;;;1;5;3;0
201800000390;3;982;;;0;1;32;500;0;1;1;;;1;0;1;0
201800000391;9;;;;2;2;1;700;0;1;3;;;2;0;3;0
201800000392;3;490;;;3;2;7;815;3;2;1;;;7;2;1;0
201800000393;3;142;;D;2;2;8;200;1;1;1;;;1;0;4;0
201800000394;3;53;;;2;2;2;850;0;2;1;;;1;0;3;0
201800000395;3;22;;;2;2;20;650;0;1;1;;;1;0;1;0
201800000396;3;143;;;2;2;0;620;0;1;1;;;1;0;1;0
201800000397;3;104;;;2;2;36;100;0;2;1;;;1;5;1;0
201800000398;3;22;;;2;2;29;70;0;1;1;;;1;0;1;0
201800000399;3;142;;;2;2;4;100;0;2;3;;;2;0;1;0
201800000400;6;;;;;;;;0;1;1;;;1;0;1;0
201800000401;3;6154;;;2;2;17;440;0;1;1;;;1;0;1;0
201800000402;3;833;;;2;2;8;150;0;1;1;;;2;0;3;0
201800000403;3;830;;;2;2;18;310;0;2;2;;;8;0;1;0
201800000404;9;;;;0;1;;;0;1;1;;;1;0;1;0
201800000405;9;;;A;2;2;;;0;1;1;;;2;0;1;0
201800000406;3;23;;A;2;2;20;200;0;2;1;;;2;0;3;0
201800000407;3;37;;;2;2;30;0;0;1;3;;;7;0;1;0
